county_fips,rate_net_migration
0,
1000,0.7451724354
1001,4.777171297
1003,21.27929069
1005,-18.2380157
1007,-0.708717222
1009,-1.391062424
1011,-2.212708644
1013,-6.272713695
1015,-3.47158938
1017,-5.786746579
1019,5.3980582524
1021,2.603750314
1023,-11.4172629
1025,-14.39699825
1027,1.5666965085
1029,-1.411195484
1031,1.8793128762
1033,2.8462823879
1035,-11.91516403
1037,-4.321243047
1039,-3.336091169
1041,5.4022905712
1043,8.0140794466
1045,-3.585645264
1047,-19.62575294
1049,-0.52042675
1051,2.7024358943
1053,-3.140971039
1055,0.5635089117
1057,-4.810727923
1059,2.0593733169
1061,-1.882352941
1063,-1.648028252
1065,-13.00137386
1067,1.4631434173
1069,-2.638168056
1071,-0.383939798
1073,-2.719568019
1075,4.5952252737
1077,1.7849029662
1079,3.5863898014
1081,7.9399725422
1083,11.148949092
1085,-9.51548694
1087,-8.916466785
1089,7.5439689111
1091,-12.21653814
1093,-1.69776461
1095,3.3421543717
1097,-1.827811919
1099,-6.37929042
1101,-4.682593646
1103,-2.694501454
1105,-11.6837054
1107,-20.72942264
1109,-3.643966547
1111,-1.020000887
1113,-15.20990524
1115,7.374088305
1117,6.3392196383
1119,-18.49233943
1121,-5.158337457
1123,1.4040965132
1125,4.1777006111
1127,-3.27504171
1129,-9.20694706
1131,-4.323827047
1133,2.2576666597
2000,-3.897349072
2013,-4.156769596
2016,-16.54187707
2020,-10.61540427
2050,-13.78658587
2060,-2.214839424
2068,53.159478435
2070,-18.87929303
2090,-2.107165862
2100,6.3404002378
2105,-6.583588055
2110,-11.22610608
2122,2.9701610411
2130,-4.597030173
2150,-15.27550464
2158,-22.10687023
2164,-11.89358372
2170,20.791398814
2180,-7.251120399
2185,-19.710502
2188,-25.99754252
2195,0.0
2198,-0.921163737
2220,-7.080050246
2230,31.531531532
2240,-1.609481308
2261,-7.620887672
2275,15.356637705
2282,-46.51162791
2290,-12.12343865
4000,11.96478216
4001,0.8848749587
4003,-7.773459189
4005,4.8036825847
4007,11.604942916
4009,-8.881018145
4011,-1.664932362
4012,11.67485528
4013,13.997784803
4015,10.371085842
4017,2.6746257606
4019,5.6678563143
4021,24.445586875
4023,-10.19990962
4025,21.662400647
4027,2.7446882281
5000,1.486268521
5001,-10.30588751
5003,-14.40727132
5005,8.095394377
5007,22.415686674
5009,3.8452230498
5011,-3.005738228
5013,-6.767862322
5015,-1.802353874
5017,-4.755590105
5019,2.8815249917
5021,-5.484702306
5023,-1.227042432
5025,0.483997822
5027,-3.448204233
5029,-1.81774695
5031,7.823602945
5033,3.5597219873
5035,-0.813628274
5037,-13.76896149
5039,-14.06658182
5041,-10.36182836
5043,-3.497820589
5045,3.2121981376
5047,-2.429104056
5049,1.9804431241
5051,7.3535411227
5053,3.5476718404
5055,7.5255531843
5057,-6.709431738
5059,-0.358556809
5061,-0.899347973
5063,0.2427446326
5065,4.7451343837
5067,-3.983028834
5069,-20.84636524
5071,-2.757511346
5073,-16.26133257
5075,0.0599970001
5077,-34.40475564
5079,-9.204899616
5081,4.0309577556
5083,0.184073077
5085,2.0117070172
5087,22.503692994
5089,15.157558835
5091,-3.428375521
5093,-22.8330005
5095,-30.01978577
5097,-3.896899182
5099,-14.4498401
5101,1.7841213202
5103,-9.80777587
5105,-0.388481523
5107,-27.67126127
5109,-0.73858653
5111,-0.708687677
5113,-0.842856789
5115,0.4548841222
5117,-0.72503172
5119,-3.206694705
5121,2.5802012557
5123,-14.67979924
5125,8.4769660665
5127,-20.19815249
5129,20.882110992
5131,-2.920281038
5133,-23.48610989
5135,16.560697915
5137,13.094998996
5139,-6.202713687
5141,-3.106610509
5143,10.394863507
5145,-1.292513559
5147,-10.97249361
5149,-0.697544643
6000,0.5000437855
6001,3.9896660709
6003,-22.59887006
6005,14.531291969
6007,6.8402304918
6009,11.120094809
6011,5.1957778454
6013,7.2769140366
6015,7.1831708568
6017,7.4268982175
6019,-1.363600398
6021,-0.935369561
6023,7.6347128876
6025,-4.176923334
6027,-10.32472939
6029,-3.533522645
6031,-14.6059499
6033,-3.573574277
6035,-18.61981057
6037,-3.985414581
6039,-5.371798707
6041,-2.765217325
6043,-7.355037345
6045,0.5160787192
6047,-3.910251488
6049,-7.881445302
6051,8.0423280423
6053,-0.682471472
6055,-1.561934243
6057,4.0386863641
6059,-0.785839558
6061,14.842029093
6063,15.960314893
6065,8.4233744409
6067,6.0492681204
6069,10.132747507
6071,-0.180346855
6073,0.9294150136
6075,5.9820515393
6077,7.9981856668
6079,5.2110770983
6081,-1.91785701
6083,-0.778281217
6085,-0.548293955
6087,-0.7008591
6089,2.3593034171
6091,-10.44474394
6093,6.4180999654
6095,7.9815010771
