year,state,county_name,county_fips,candidatevotes_democrat,candidatevotes_republican,pctvotes_democrat,pctvotes_republican,winner
2020,ALABAMA,AUTAUGA,1001.0,7503.0,19838.0,0.27018365142239825,0.714368023046453,republican
2020,ALABAMA,BALDWIN,1003.0,24578.0,83544.0,0.22409029987509005,0.7617137282433283,republican
2020,ALABAMA,BARBOUR,1005.0,4816.0,5622.0,0.45788172656398557,0.5345122646891044,republican
2020,ALABAMA,BIBB,1007.0,1986.0,7525.0,0.20698280354351226,0.7842626367899947,republican
2020,ALABAMA,BLOUNT,1009.0,2640.0,24711.0,0.09569377990430622,0.8957155284906481,republican
2020,ALABAMA,BULLOCK,1011.0,3446.0,1146.0,0.7470192933015392,0.24842835464990246,democrat
2020,ALABAMA,BUTLER,1013.0,3965.0,5458.0,0.4178962900505902,0.5752529510961214,republican
2020,ALABAMA,CALHOUN,1015.0,15216.0,35101.0,0.29845242531824334,0.6884843967597042,republican
2020,ALABAMA,CHAMBERS,1017.0,6365.0,8753.0,0.41644857367181365,0.5726903951845067,republican
2020,ALABAMA,CHEROKEE,1019.0,1624.0,10583.0,0.13202178684659785,0.8603365580034144,republican
2020,ALABAMA,CHILTON,1021.0,3073.0,16085.0,0.1591403417918177,0.8329880890730191,republican
2020,ALABAMA,CHOCTAW,1023.0,3127.0,4296.0,0.41894426580921756,0.5755627009646302,republican
2020,ALABAMA,CLARKE,1025.0,5755.0,7324.0,0.4381423677198325,0.5575942139322421,republican
2020,ALABAMA,CLAY,1027.0,1267.0,5601.0,0.18282828282828284,0.8082251082251082,republican
2020,ALABAMA,CLEBURNE,1029.0,675.0,6484.0,0.09339975093399751,0.8971910889719109,republican
2020,ALABAMA,COFFEE,1031.0,5076.0,16899.0,0.22787878787878788,0.7586531986531987,republican
2020,ALABAMA,COLBERT,1033.0,8343.0,19203.0,0.2991823854263788,0.688625116545937,republican
2020,ALABAMA,CONECUH,1035.0,2966.0,3442.0,0.46048750194069243,0.5343890700201832,republican
2020,ALABAMA,COOSA,1037.0,1796.0,3631.0,0.3277970432560686,0.6627121737543348,republican
2020,ALABAMA,COVINGTON,1039.0,2721.0,14586.0,0.15611015490533564,0.8368330464716007,republican
2020,ALABAMA,CRENSHAW,1041.0,1700.0,4864.0,0.2569140093698051,0.7350763185733716,republican
2020,ALABAMA,CULLMAN,1043.0,4478.0,36880.0,0.10699863802537574,0.8812214761893383,republican
2020,ALABAMA,DALE,1045.0,5170.0,14303.0,0.2619313000303982,0.724642820954504,republican
2020,ALABAMA,DALLAS,1047.0,12230.0,5524.0,0.6846171070309002,0.30922525750111957,democrat
2020,ALABAMA,DEKALB,1049.0,4281.0,24767.0,0.14583049461779535,0.8436776127537812,republican
2020,ALABAMA,ELMORE,1051.0,10367.0,30164.0,0.2526687789422374,0.7351693882524982,republican
2020,ALABAMA,ESCAMBIA,1053.0,4918.0,10869.0,0.3091137649277184,0.6831552482715273,republican
2020,ALABAMA,ETOWAH,1055.0,11567.0,35528.0,0.2423524974857526,0.7443848474689909,republican
2020,ALABAMA,FAYETTE,1057.0,1395.0,7300.0,0.1591375770020534,0.8327629477526808,republican
2020,ALABAMA,FRANKLIN,1059.0,2086.0,10376.0,0.16584512641119414,0.8249324216886628,republican
2020,ALABAMA,GENEVA,1061.0,1595.0,10848.0,0.12714228776404943,0.8647269828616979,republican
2020,ALABAMA,GREENE,1063.0,3884.0,875.0,0.8134031413612566,0.18324607329842932,democrat
2020,ALABAMA,HALE,1065.0,4663.0,3192.0,0.590253164556962,0.4040506329113924,democrat
2020,ALABAMA,HENRY,1067.0,2606.0,6607.0,0.2802753280275328,0.7105829210582921,republican
2020,ALABAMA,HOUSTON,1069.0,12917.0,32618.0,0.27975223615532885,0.7064301648149351,republican
2020,ALABAMA,JACKSON,1071.0,3717.0,19670.0,0.15726011169402607,0.8322051108478592,republican
2020,ALABAMA,JEFFERSON,1073.0,181688.0,138843.0,0.5575851317178562,0.426097444207115,democrat
2020,ALABAMA,LAMAR,1075.0,978.0,6174.0,0.13596552203531212,0.858334491867093,republican
2020,ALABAMA,LAUDERDALE,1077.0,11915.0,31721.0,0.26872505018155574,0.7154198335551095,republican
2020,ALABAMA,LAWRENCE,1079.0,3562.0,12322.0,0.22219449815981535,0.7686357681991142,republican
2020,ALABAMA,LEE,1081.0,27860.0,42221.0,0.38992848045459,0.590924995451301,republican
2020,ALABAMA,LIMESTONE,1083.0,13672.0,34640.0,0.27768863613283234,0.7035645374225652,republican
